trade_date,close
20180102,13.7
20180103,13.33
20180104,13.25
20180105,13.3
20180108,12.96
20180109,13.08
20180110,13.47
20180111,13.4
20180112,13.55
20180115,14.2
20180116,14.2
20180117,14.23
20180118,14.72
20180119,14.8
20180122,14.44
20180123,14.65
20180124,14.64
20180125,14.2
20180126,14.05
20180129,13.74
20180130,13.65
20180131,14.05
20180201,14.03
20180202,14.05
20180205,14.55
20180206,14.0
20180207,12.92
20180208,12.54
20180209,11.69
20180212,11.72
20180213,11.94
20180214,12.0
20180222,12.46
20180223,12.61
20180226,12.63
20180227,12.28
20180228,12.05
20180301,12.04
20180302,11.95
20180305,11.86
20180306,12.1
20180307,12.05
20180308,12.11
20180309,12.09
20180312,12.03
20180313,12.02
20180314,11.92
20180315,11.71
20180316,11.64
20180319,11.83
20180320,11.82
20180321,11.9
20180322,11.66
20180323,11.34
20180326,10.93
20180327,10.94
20180328,10.89
20180329,11.05
20180330,10.9
20180402,10.71
20180403,10.56
20180404,10.87
20180409,11.02
20180410,11.42
20180411,11.83
20180412,11.52
20180413,11.57
20180416,11.1
20180417,11.21
20180418,11.5
20180419,11.47
20180420,11.35
20180423,11.57
20180424,11.86
20180425,11.68
20180426,11.42
20180427,10.85
20180502,10.88
20180503,10.75
20180504,10.68
20180507,10.81
20180508,11.01
20180509,10.97
20180510,11.01
20180511,11.01
20180514,11.18
20180515,11.12
20180516,10.9
20180517,10.82
20180518,10.96
20180521,10.95
20180522,10.86
20180523,10.65
20180524,10.61
20180525,10.59
20180528,10.59
20180529,10.38
20180530,10.08
20180531,10.18
20180601,10.19
20180604,10.27
20180605,10.26
20180606,10.14
20180607,10.37
20180608,10.12
20180611,10.04
20180612,10.06
20180613,9.95
20180614,10.07
20180615,10.17
20180619,9.87
20180620,9.91
20180621,9.86
20180622,9.85
20180625,9.46
20180626,9.36
20180627,9.09
20180628,8.92
20180629,9.09
20180702,8.61
20180703,8.67
20180704,8.61
20180705,8.6
20180706,8.66
20180709,9.03
20180710,8.98
20180711,8.78
20180712,8.88
20180713,8.88
20180716,8.73
20180717,8.72
20180718,8.7
20180719,8.73
20180720,9.11
20180723,9.42
20180724,9.4
20180725,9.38
20180726,9.25
20180727,9.25
20180730,9.39
20180731,9.42
20180801,9.15
20180802,8.94
20180803,8.91
20180806,8.94
20180807,9.17
20180808,9.05
20180809,9.29
20180810,9.23
20180813,9.05
20180814,9.0
20180815,8.79
20180816,8.78
20180817,8.81
20180820,9.0
20180821,9.23
20180822,9.29
20180823,9.36
20180824,10.03
20180827,10.43
20180828,10.29
20180829,10.27
20180830,10.12
20180831,10.13
20180903,10.19
20180904,10.43
20180905,10.05
20180906,9.97
20180907,10.01
20180910,9.88
20180911,9.91
20180912,9.88
20180913,9.96
20180914,9.84
20180917,9.69
20180918,10.08
20180919,10.24
20180920,10.23
20180921,10.67
20180925,10.55
20180926,10.71
20180927,10.74
20180928,11.05
20181008,10.45
20181009,10.56
20181010,10.45
20181011,9.86
20181012,10.3
20181015,10.11
20181016,10.37
20181017,10.33
20181018,10.09
20181019,10.76
20181022,11.15
20181023,10.84
20181024,11.04
20181025,11.29
20181026,11.18
20181029,10.75
20181030,10.9
20181031,10.91
20181101,10.83
20181102,11.09
20181105,10.92
20181106,10.84
20181107,10.81
20181108,10.89
20181109,10.55
20181112,10.56
20181113,10.54
20181114,10.44
20181115,10.62
20181116,10.57
20181119,10.85
20181120,10.57
20181121,10.61
20181122,10.55
20181123,10.32
20181126,10.34
20181127,10.18
20181128,10.28
20181129,10.2
20181130,10.36
20181203,10.59
20181204,10.59
20181205,10.45
20181206,10.25
20181207,10.28
20181210,10.17
20181211,10.23
20181212,10.24
20181213,10.39
20181214,10.17
20181217,10.29
20181218,10.12
20181219,9.94
20181220,9.71
20181221,9.45
20181224,9.42
20181225,9.34
20181226,9.3
20181227,9.28
20181228,9.38
20190102,9.19
20190103,9.28
20190104,9.75
20190107,9.74
20190108,9.66
20190109,9.94
20190110,10.1
20190111,10.2
20190114,10.11
20190115,10.24
20190116,10.48
20190117,10.25
20190118,10.43
20190121,10.34
20190122,10.28
20190123,10.35
20190124,10.52
20190125,11.0
20190128,10.94
20190129,11.0
20190130,10.95
20190131,11.1
20190201,11.2
20190211,11.21
20190212,11.19
20190213,11.38
20190214,11.25
20190215,10.95
20190218,11.36
20190219,11.27
20190220,11.41
20190221,11.36
20190222,11.54
20190225,12.55
20190226,12.2
20190227,12.4
20190228,12.36
20190301,12.76
20190304,12.99
20190305,13.06
20190306,13.08
20190307,12.74
20190308,12.3
20190311,12.32
20190312,12.36
20190313,12.37
20190314,12.43
20190315,12.5
20190318,12.91
20190319,12.79
20190320,12.75
20190321,12.69
20190322,12.59
20190325,12.11
20190326,12.1
20190327,12.38
20190328,12.22
20190329,12.82
20190401,13.18
20190402,13.36
20190403,13.44
20190404,13.86
20190408,13.96
20190409,13.81
20190410,13.73
20190411,13.54
20190412,13.42
20190415,13.69
20190416,14.58
20190417,14.35
20190418,14.34
20190419,14.73
20190422,14.15
20190423,14.07
20190424,14.44
20190425,14.13
20190426,13.79
20190429,14.1
20190430,13.85
20190506,12.87
20190507,12.95
20190508,12.6
20190509,12.16
20190510,12.68
20190513,12.3
20190514,12.49
20190515,12.92
20190516,12.85
20190517,12.44
20190520,12.38
20190521,12.56
20190522,12.4
20190523,12.29
20190524,12.35
20190527,12.37
20190528,12.49
20190529,12.4
20190530,12.22
20190531,12.18
20190603,11.9
20190604,11.85
20190605,11.97
20190606,11.92
20190610,12.34
20190611,12.65
20190612,12.57
20190613,12.59
20190614,12.49
20190617,12.67
20190618,12.8
20190619,13.07
20190620,13.8
20190621,13.64
20190624,13.69
20190625,13.43
20190626,13.37
20190627,13.71
20190628,13.78
20190701,13.93
20190702,14.18
20190703,14.01
20190704,13.99
20190705,13.92
20190708,13.59
20190709,13.59
20190710,13.56
20190711,13.54
20190712,14.12
20190715,14.0
20190716,13.75
20190717,13.69
20190718,13.67
20190719,13.99
20190722,13.85
20190723,13.76
20190724,13.88
20190725,14.2
20190726,14.23
20190729,14.29
20190730,14.37
20190731,14.13
20190801,14.1
20190802,13.74
20190805,13.35
20190806,13.37
20190807,13.54
20190808,14.38
20190809,14.52
20190812,15.12
20190813,14.89
20190814,14.97
20190815,14.94
20190816,14.9
20190819,14.92
20190820,14.99
20190821,14.45
20190822,14.31
20190823,14.65
20190826,14.25
20190827,14.31
20190828,14.27
20190829,14.13
20190830,14.16
20190902,14.45
20190903,14.3
20190904,14.44
20190905,14.58
20190906,14.81
20190909,14.69
20190910,14.55
20190911,14.56
20190912,14.68
20190916,14.45
20190917,14.24
20190918,14.41
20190919,14.84
20190920,15.34
20190923,15.38
20190924,15.18
20190925,15.75
20190926,15.71
20190927,15.9
20190930,15.59
20191008,16.2
20191009,16.25
20191010,16.24
20191011,16.81
20191014,17.22
20191015,17.18
20191016,16.79
20191017,16.7
20191018,16.51
20191021,16.89
20191022,16.42
20191023,16.45
20191024,16.87
20191025,16.88
20191028,16.66
20191029,16.91
20191030,16.43
20191031,16.26
20191101,16.86
20191104,16.92
20191105,17.15
20191106,16.96
20191107,16.89
20191108,16.65
20191111,16.28
20191112,16.33
20191113,16.33
20191114,16.32
20191115,16.34
20191118,16.45
20191119,16.41
20191120,15.85
20191121,15.86
20191122,15.59
20191125,15.8
20191126,15.62
20191127,15.47
20191128,15.49
20191129,15.29
20191202,15.36
20191203,15.45
20191204,15.31
20191205,15.43
20191206,15.6
20191209,15.41
20191210,15.33
20191211,15.66
20191212,15.6
20191213,16.12
20191216,16.13
20191217,16.5
20191218,16.46
20191219,16.55
20191220,16.59
20191223,16.24
20191224,16.4
20191225,16.3
20191226,16.47
20191227,16.63
20191230,16.57
